system:index,B2,B3,B4,B8,NDMI,NDVI,NDWI,aspect,elevation,label,slope,.geo
2_91_0,184.5,285.5,231.0,2152.5,0.47938144,0.8061674,-0.76579165,64.96186,3129,0,18.995535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.31161014414057,28.074733164237966]}"
2_92_0,3031.5,2736.5,2338.0,1896.0,0.87259257,-0.104393005,0.18143551,91.90371,5598,0,44.262543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.47869678698682,28.259336955124528]}"
2_93_0,562.5,811.6666666666666,921.0,2357.0,-8.478169E-4,0.438072,-0.487692,142.56413,1519,0,32.292435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.27522837513374,27.763197423705314]}"
2_94_0,159.02439024390245,214.64705882352942,153.97222222222223,1388.75,0.23485607,0.80038893,-0.73225963,288.05222,2073,0,20.085836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.43315220208196,27.7901468822289]}"
2_95_0,557.1666666666666,782.3076923076923,1007.0,2225.5,-0.049520597,0.37695283,-0.47981536,180.0,805,0,16.24506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52064353647334,27.940255366205275]}"
2_96_0,739.25,899.75,1027.4,1802.625,-0.047898855,0.27392867,-0.33410427,228.49875,1442,0,5.581074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.36065815865351,27.777480636722817]}"
2_97_0,162.0,319.0,260.0,1589.0,0.1390681,0.7187669,-0.6656184,150.45772,1547,0,40.560646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.88796465614982,28.087668904329288]}"
2_98_0,349.42857142857144,473.3636363636364,673.5714285714286,1574.6666666666667,-0.1930304,0.40080062,-0.53773767,29.590464,3260,0,14.607461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.44608794217326,28.297335691642783]}"
2_99_0,360.0,553.0,628.0,2216.0,4.5146726E-4,0.5583685,-0.60057783,174.11719,717,0,10.148922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.51067223681962,28.07904507760174]}"
2_100_0,342.5,411.0,360.0,1386.5,0.3164016,0.5877469,-0.5426982,46.892567,3374,0,38.847927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.12134696696407,28.240741828743253]}"
2_101_0,526.0,786.0,864.0,2110.0,-0.06554473,0.41896436,-0.45718232,159.31544,561,0,2.971524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74917494475335,28.01059345295183]}"
2_102_0,432.0,669.9732142857142,563.5,3039.75,0.15177493,0.68722683,-0.6388015,64.65588,582,0,29.56438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7586072552366,27.855634066441215]}"
2_103_0,1047.0,842.5,852.5,1189.0,0.03851865,0.16482978,-0.17056362,14.268784,4105,0,39.298603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.37979227420524,28.028110600992164]}"
2_104_0,347.3181818181818,477.5416666666667,736.75,1371.857142857143,-0.2563366,0.30119747,-0.4835709,195.33003,3921,0,46.141735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.38006176879048,28.04859218947009]}"
2_105_0,275.3125,479.29411764705884,286.0,2603.5,0.24774599,0.8020419,-0.68905216,86.834526,1200,0,30.3832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58370526941853,27.76481439121673]}"
2_106_0,9728.0,9602.0,9620.0,8726.0,0.8454055,-0.048729967,0.047795724,13.319073,4918,0,21.764124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71683559452504,28.357163489565142]}"
2_107_0,407.0,585.0,558.0,2230.0,0.15663901,0.599713,-0.5843694,264.59677,982,0,27.281525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6720994933759,28.019486774264614]}"
2_108_0,388.0,613.0,570.0,3246.0,0.19800702,0.7012579,-0.6823011,29.561844,1790,0,14.603497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.67452494464301,28.173098687849052]}"
2_109_0,624.1,943.5,1035.5,2735.75,-0.027634619,0.4508452,-0.48712373,322.9746,394,0,10.341799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.64407205651136,27.88581745998763]}"
2_110_0,273.0,502.0,338.0,3584.0,0.3455979,0.827639,-0.7542829,274.03513,1027,0,24.706625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70497783277466,28.141298326791222]}"
2_111_0,786.3333333333333,1044.5,1176.5,2549.6666666666665,-0.09183734,0.36851993,-0.41878045,-0.0,226,0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.5985274716065,27.63410951737734]}"
2_112_0,373.5,515.0,692.5,1736.5,-0.09427565,0.4298065,-0.5425272,111.35794,3306,0,28.07455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85993721928529,28.37441114302024]}"
